LSOA11CD,ARSON AND CRIMINAL DAMAGE,BURGLARY,DRUG OFFENCES,MISCELLANEOUS CRIMES AGAINST SOCIETY,POSSESSION OF WEAPONS,PUBLIC ORDER OFFENCES,ROBBERY,THEFT,VEHICLE OFFENCES,VIOLENCE AGAINST THE PERSON,total_crime,population_mean_2019_2022
E01000934,0.39,0.53,0.39,0.2,0.13,0.59,0.33,0.72,0.72,0.53,4.54,1520
E01000935,0.32,0.51,0.38,0.19,0.19,0.57,0.32,0.83,0.7,0.38,4.41,1566
E01000937,0.46,0.61,0.38,0.15,0.15,0.68,0.38,0.99,0.84,0.46,5.1,1314
E01000938,0.43,0.58,0.43,0.22,0.22,0.65,0.43,0.94,0.8,0.43,5.14,1381
E01000939,0.34,0.54,0.41,0.2,0.2,0.74,0.41,0.88,0.61,0.41,4.73,1481
E01000941,0.41,0.66,0.5,0.25,0.17,0.74,0.5,1.07,0.91,0.5,5.7,1211
E01000942,0.27,0.72,0.54,0.27,0.27,0.81,0.54,1.18,0.99,0.72,6.33,1106
E01000943,0.3,0.48,0.36,0.18,0.18,0.53,0.3,0.77,0.77,0.36,4.22,1683
E01000944,0.33,0.39,0.39,0.2,0.2,0.59,0.33,0.86,0.72,0.53,4.54,1520
E01000946,0.32,0.52,0.39,0.19,0.19,0.58,0.39,0.84,0.84,0.52,4.81,1539
E01000947,0.35,0.47,0.35,0.18,0.18,0.65,0.35,0.77,0.77,0.47,4.55,1693
E01000948,0.32,0.52,0.39,0.19,0.13,0.58,0.32,0.71,0.71,0.39,4.26,1548
E01000949,0.3,0.49,0.3,0.18,0.12,0.55,0.3,0.67,0.67,0.37,3.96,1643
E01000951,0.32,0.52,0.39,0.19,0.19,0.58,0.39,0.58,0.71,0.39,4.27,1545
E01000952,0.35,0.46,0.35,0.17,0.17,0.52,0.29,0.75,0.64,0.35,4.07,1722
E01000954,0.33,0.44,0.33,0.17,0.17,0.61,0.33,0.72,0.61,0.44,4.16,1802
E01000955,0.36,0.57,0.43,0.21,0.14,0.79,0.36,0.79,0.79,0.43,4.86,1399
E01000956,0.38,0.51,0.38,0.19,0.19,0.7,0.32,0.83,0.7,0.57,4.77,1571
E01000957,0.37,0.6,0.45,0.22,0.22,0.82,0.37,0.97,0.82,0.45,5.28,1344
E01000958,0.2,0.26,0.2,0.1,0.1,0.3,0.2,0.43,0.43,0.2,2.41,3034
E01000959,0.29,0.47,0.35,0.18,0.18,0.53,0.35,0.64,0.53,0.35,3.86,1712
E01000960,0.31,0.42,0.31,0.16,0.16,0.47,0.31,0.68,0.58,0.31,3.72,1910
E01000961,0.28,0.44,0.33,0.17,0.17,0.5,0.33,0.72,0.61,0.44,3.98,1807
E01000962,0.32,0.51,0.32,0.13,0.13,0.57,0.38,0.82,0.57,0.38,4.12,1576
E01000963,0.26,0.42,0.32,0.16,0.16,0.48,0.32,0.69,0.58,0.32,3.7,1894
E01000964,0.28,0.46,0.34,0.17,0.11,0.51,0.17,0.51,0.51,0.34,3.42,1755
E01000965,0.34,0.34,0.34,0.17,0.11,0.52,0.29,0.63,0.63,0.34,3.72,1747
E01000966,0.19,0.5,0.31,0.12,0.12,0.5,0.19,0.56,0.68,0.5,3.67,1607
E01000967,0.39,0.51,0.39,0.19,0.13,0.58,0.32,0.71,0.71,0.51,4.43,1556
E01000968,0.33,0.53,0.4,0.2,0.13,0.53,0.33,0.73,0.73,0.4,4.28,1517
E01000969,0.27,0.44,0.33,0.16,0.11,0.49,0.33,0.71,0.6,0.33,3.79,1820
E01000970,0.34,0.4,0.34,0.2,0.2,0.61,0.34,0.88,0.74,0.4,4.44,1485
E01000971,0.22,0.44,0.44,0.22,0.15,0.58,0.36,0.66,0.66,0.44,4.16,1370
E01000972,0.3,0.4,0.3,0.15,0.15,0.45,0.3,0.66,0.55,0.3,3.58,1982
E01000973,0.23,0.3,0.23,0.11,0.11,0.34,0.23,0.49,0.42,0.23,2.68,2649
E01000974,0.31,0.5,0.37,0.19,0.19,0.56,0.31,0.81,0.56,0.37,4.16,1610
E01000975,0.22,0.35,0.26,0.13,0.13,0.48,0.26,0.56,0.56,0.26,3.2,2310
E01000976,0.23,0.37,0.28,0.14,0.14,0.42,0.28,0.6,0.6,0.37,3.41,2168
E01000977,0.31,0.41,0.31,0.15,0.1,0.46,0.26,0.57,0.67,0.31,3.56,1936
E01000978,0.35,0.46,0.35,0.17,0.12,0.52,0.29,0.46,0.63,0.46,3.8,1738
E01000979,0.34,0.46,0.34,0.17,0.11,0.52,0.34,0.75,0.63,0.34,4.02,1740
E01000980,0.33,0.53,0.4,0.2,0.2,0.53,0.33,0.6,0.73,0.4,4.24,1511
E01000981,0.28,0.45,0.34,0.17,0.17,0.5,0.28,0.62,0.62,0.45,3.86,1787
E01000982,0.3,0.36,0.36,0.12,0.18,0.36,0.3,0.53,0.65,0.36,3.5,1688
E01000983,0.27,0.44,0.33,0.16,0.16,0.49,0.27,0.6,0.6,0.33,3.66,1831
E01000984,0.26,0.42,0.31,0.16,0.16,0.47,0.31,0.68,0.57,0.42,3.76,1916
E01000985,0.34,0.54,0.34,0.2,0.2,0.54,0.34,0.74,0.74,0.4,4.38,1485
E01000986,0.28,0.45,0.33,0.17,0.17,0.5,0.33,0.72,0.61,0.33,3.9,1794
E01000987,0.38,0.45,0.45,0.15,0.15,0.6,0.45,0.83,0.83,0.45,4.74,1328
E01000989,0.29,0.35,0.29,0.17,0.0,0.52,0.17,0.52,0.64,0.47,3.43,1718
E01000990,0.35,0.56,0.42,0.21,0.21,0.63,0.35,0.63,0.91,0.56,4.83,1430
E01000991,0.34,0.34,0.34,0.11,0.17,0.45,0.28,0.62,0.62,0.34,3.62,1768
E01000992,0.27,0.44,0.33,0.16,0.16,0.49,0.33,0.6,0.6,0.33,3.7,1836
E01000993,0.36,0.49,0.36,0.18,0.12,0.55,0.36,0.79,0.67,0.49,4.37,1646
E01000994,0.38,0.5,0.38,0.19,0.19,0.57,0.31,0.69,0.69,0.38,4.28,1588
E01000995,0.35,0.47,0.35,0.18,0.18,0.65,0.35,0.77,0.77,0.35,4.42,1695
E01000996,0.38,0.46,0.46,0.23,0.23,0.62,0.38,0.46,0.85,0.62,4.69,1300
E01000997,0.33,0.4,0.4,0.13,0.13,0.53,0.33,0.73,0.73,0.4,4.14,1497
E01000998,0.34,0.54,0.4,0.2,0.13,0.6,0.34,0.87,0.74,0.54,4.7,1490
E01000999,0.37,0.37,0.44,0.22,0.22,0.66,0.37,0.58,0.66,0.44,4.31,1368
E01001000,0.44,0.58,0.44,0.22,0.22,0.66,0.44,0.95,0.66,0.58,5.17,1373
E01001001,0.42,0.56,0.42,0.21,0.21,0.63,0.35,0.63,0.77,0.42,4.62,1430
E01001002,0.34,0.41,0.41,0.2,0.2,0.61,0.2,0.75,0.75,0.41,4.28,1471
E01001003,0.31,0.5,0.37,0.19,0.19,0.56,0.31,0.56,0.69,0.37,4.05,1605
E01001004,0.23,0.36,0.27,0.14,0.14,0.41,0.23,0.41,0.59,0.27,3.05,2199
E01001005,0.35,0.46,0.35,0.17,0.17,0.46,0.35,0.75,0.64,0.35,4.04,1731
E01001006,0.34,0.46,0.34,0.17,0.17,0.51,0.34,0.74,0.63,0.34,4.04,1757
E01001007,0.31,0.31,0.31,0.15,0.15,0.41,0.31,0.67,0.67,0.41,3.71,1942
E01001008,0.35,0.47,0.35,0.18,0.18,0.53,0.35,0.65,0.65,0.47,4.18,1698
E01001009,0.25,0.4,0.3,0.15,0.15,0.4,0.3,0.65,0.55,0.4,3.56,1992
E01001010,0.35,0.47,0.35,0.18,0.18,0.65,0.35,0.76,0.76,0.47,4.52,1704
E01001011,0.26,0.35,0.26,0.13,0.13,0.48,0.26,0.57,0.48,0.35,3.28,2288
E01001012,0.29,0.38,0.29,0.14,0.14,0.53,0.24,0.62,0.62,0.29,3.55,2087
E01001013,0.27,0.36,0.27,0.14,0.14,0.59,0.27,0.59,0.59,0.36,3.58,2207
E01001015,0.41,0.41,0.41,0.2,0.2,0.54,0.2,0.54,0.75,0.54,4.21,1474
E01001016,0.29,0.34,0.29,0.11,0.17,0.46,0.17,0.52,0.63,0.34,3.32,1746
E01001017,0.3,0.36,0.3,0.18,0.12,0.48,0.18,0.36,0.66,0.36,3.32,1656
E01001018,0.37,0.49,0.37,0.18,0.18,0.55,0.37,0.67,0.67,0.37,4.21,1640
E01001019,0.33,0.4,0.4,0.2,0.2,0.54,0.2,0.54,0.74,0.4,3.95,1493
E01001020,0.37,0.37,0.31,0.18,0.18,0.55,0.31,0.68,0.68,0.37,3.99,1628
E01001021,0.44,0.44,0.44,0.22,0.22,0.59,0.22,0.8,0.8,0.44,4.61,1367
E01001022,0.41,0.55,0.34,0.2,0.2,0.55,0.2,0.55,0.75,0.41,4.16,1465
E01001023,0.24,0.32,0.24,0.12,0.12,0.36,0.24,0.53,0.36,0.24,2.79,2470
E01001024,0.38,0.45,0.38,0.23,0.23,0.6,0.23,0.68,0.98,0.6,4.75,1326
E01001025,0.22,0.44,0.36,0.15,0.15,0.22,0.22,0.66,0.66,0.44,3.5,1371
E01001026,0.26,0.32,0.32,0.11,0.11,0.42,0.16,0.69,0.58,0.32,3.27,1894
E01001027,0.22,0.29,0.18,0.11,0.07,0.33,0.18,0.47,0.47,0.22,2.56,2737
E01001028,0.3,0.49,0.37,0.18,0.12,0.55,0.3,0.37,0.67,0.37,3.72,1641
E01001029,0.35,0.47,0.29,0.18,0.12,0.47,0.29,0.64,0.76,0.35,3.92,1710
E01001030,0.35,0.42,0.42,0.21,0.0,0.42,0.35,0.42,0.77,0.42,3.8,1420
E01001031,0.34,0.41,0.21,0.21,0.21,0.34,0.34,0.41,0.76,0.41,3.65,1453
E01001032,0.33,0.52,0.39,0.2,0.2,0.52,0.2,0.52,0.59,0.39,3.85,1531
E01001033,0.36,0.49,0.36,0.18,0.18,0.55,0.36,0.79,0.67,0.36,4.31,1649
E01001034,0.3,0.49,0.36,0.18,0.18,0.55,0.36,0.67,0.55,0.36,4.01,1646
E01001035,0.32,0.32,0.32,0.16,0.11,0.48,0.27,0.32,0.48,0.43,3.22,1864
E01001036,0.3,0.49,0.36,0.18,0.18,0.49,0.3,0.67,0.55,0.36,3.89,1646
E01001037,0.33,0.53,0.4,0.2,0.2,0.59,0.4,0.86,0.72,0.4,4.61,1518
E01001038,0.26,0.41,0.26,0.16,0.1,0.47,0.16,0.47,0.47,0.31,3.05,1933
E01001039,0.32,0.51,0.32,0.19,0.19,0.51,0.32,0.58,0.58,0.39,3.92,1558
E01001040,0.29,0.46,0.35,0.17,0.17,0.52,0.29,0.75,0.64,0.35,4.0,1726
E01001041,0.28,0.45,0.34,0.17,0.17,0.51,0.28,0.73,0.73,0.34,3.99,1780
E01001042,0.27,0.36,0.27,0.14,0.14,0.5,0.27,0.59,0.59,0.36,3.49,2205
E01001044,0.24,0.39,0.29,0.15,0.1,0.44,0.24,0.44,0.54,0.29,3.11,2056
E01001046,0.26,0.47,0.26,0.16,0.1,0.42,0.26,0.47,0.57,0.31,3.29,1914
E01001047,0.35,0.47,0.35,0.18,0.12,0.53,0.35,0.64,0.64,0.35,3.98,1708
E01001049,0.41,0.55,0.41,0.14,0.14,0.62,0.21,0.76,0.76,0.41,4.4,1456
E01001050,0.29,0.46,0.35,0.17,0.17,0.46,0.29,0.64,0.64,0.35,3.82,1726
E01001051,0.32,0.51,0.38,0.19,0.19,0.57,0.32,0.82,0.7,0.51,4.49,1582
E01001052,0.34,0.41,0.41,0.2,0.2,0.55,0.2,0.61,0.75,0.55,4.23,1466
E01001053,0.38,0.38,0.38,0.19,0.13,0.56,0.31,0.5,0.82,0.5,4.14,1593
E01001054,0.27,0.43,0.32,0.16,0.16,0.48,0.27,0.48,0.59,0.32,3.48,1870
E01001055,0.38,0.38,0.38,0.19,0.19,0.5,0.38,0.69,0.57,0.38,4.03,1590
E01001056,0.33,0.33,0.28,0.17,0.17,0.5,0.28,0.5,0.61,0.33,3.47,1815
E01001057,0.27,0.33,0.33,0.16,0.16,0.44,0.27,0.44,0.49,0.33,3.24,1820
E01001058,0.37,0.44,0.44,0.22,0.15,0.44,0.37,0.59,0.96,0.44,4.42,1358
E01001059,0.41,0.41,0.34,0.14,0.14,0.62,0.21,0.62,0.89,0.41,4.2,1453
E01001060,0.36,0.49,0.36,0.18,0.18,0.36,0.3,0.49,0.67,0.49,3.89,1645
E01001061,0.18,0.36,0.36,0.18,0.18,0.55,0.18,0.67,0.67,0.36,3.7,1648
E01001062,0.33,0.53,0.4,0.2,0.2,0.6,0.4,0.86,0.73,0.4,4.65,1506
E01001063,0.38,0.51,0.38,0.19,0.19,0.51,0.32,0.71,0.71,0.38,4.29,1560
E01001064,0.37,0.49,0.37,0.18,0.12,0.55,0.18,0.68,0.68,0.37,4.0,1624
E01001065,0.44,0.59,0.44,0.22,0.22,0.67,0.44,0.81,0.81,0.44,5.1,1352
E01001066,0.35,0.42,0.42,0.21,0.14,0.56,0.35,0.56,0.76,0.42,4.17,1439
E01001067,0.3,0.48,0.3,0.12,0.12,0.48,0.18,0.36,0.66,0.36,3.36,1666
E01001068,0.32,0.32,0.32,0.16,0.16,0.48,0.16,0.48,0.59,0.32,3.32,1868
E01001069,0.38,0.45,0.38,0.23,0.0,0.6,0.15,0.6,0.68,0.6,4.05,1333
E01001070,0.28,0.33,0.28,0.17,0.11,0.5,0.28,0.5,0.61,0.33,3.37,1812
E01001071,0.31,0.42,0.31,0.16,0.1,0.42,0.1,0.47,0.57,0.31,3.19,1914
E01001072,0.4,0.4,0.33,0.2,0.13,0.54,0.33,0.4,0.6,0.4,3.75,1495
E01001073,0.4,0.54,0.4,0.2,0.2,0.54,0.13,0.61,0.74,0.4,4.17,1486
E01001074,0.3,0.4,0.3,0.15,0.15,0.45,0.15,0.55,0.55,0.3,3.28,2010
E01001075,0.3,0.48,0.36,0.18,0.12,0.54,0.36,0.66,0.66,0.36,4.02,1667
E01001076,0.35,0.47,0.35,0.18,0.18,0.65,0.35,0.76,0.76,0.35,4.4,1705
E01001077,0.37,0.44,0.22,0.22,0.22,0.59,0.37,0.44,0.96,0.44,4.26,1360
E01001078,0.42,0.56,0.42,0.21,0.21,0.62,0.42,0.9,0.62,0.42,4.79,1440
E01001079,0.3,0.36,0.36,0.18,0.18,0.54,0.18,0.54,0.54,0.36,3.52,1677
E01001080,0.33,0.52,0.39,0.2,0.2,0.59,0.2,0.59,0.72,0.39,4.12,1528
E01001081,0.41,0.54,0.41,0.2,0.2,0.54,0.34,0.74,0.74,0.41,4.53,1478
E01001082,0.32,0.52,0.39,0.19,0.19,0.58,0.32,0.58,0.71,0.39,4.21,1544
E01001083,0.31,0.49,0.37,0.18,0.18,0.37,0.37,0.49,0.55,0.37,3.66,1638
E01001084,0.31,0.41,0.31,0.15,0.15,0.41,0.31,0.57,0.57,0.31,3.51,1938
E01001085,0.29,0.46,0.35,0.17,0.17,0.52,0.35,0.64,0.52,0.35,3.82,1730
E01001086,0.29,0.46,0.34,0.17,0.17,0.46,0.29,0.74,0.63,0.34,3.89,1746
E01001087,0.22,0.29,0.22,0.11,0.11,0.32,0.22,0.47,0.39,0.22,2.54,2790
E01001088,0.29,0.35,0.35,0.17,0.12,0.35,0.29,0.47,0.76,0.35,3.49,1719
E01001089,0.33,0.44,0.33,0.16,0.16,0.6,0.33,0.71,0.6,0.33,3.97,1837
E01001090,0.26,0.35,0.26,0.13,0.13,0.39,0.22,0.48,0.48,0.26,2.97,2290
E01001091,0.38,0.5,0.38,0.19,0.13,0.5,0.31,0.69,0.69,0.38,4.15,1589
E01001092,0.31,0.41,0.31,0.15,0.15,0.46,0.26,0.67,0.57,0.31,3.61,1938
E01001093,0.33,0.44,0.33,0.17,0.17,0.5,0.17,0.5,0.5,0.33,3.42,1815
E01001094,0.3,0.49,0.37,0.18,0.18,0.37,0.3,0.55,0.79,0.37,3.9,1640
E01001095,0.32,0.52,0.39,0.19,0.19,0.52,0.32,0.84,0.58,0.39,4.26,1548
E01001096,0.34,0.54,0.41,0.14,0.0,0.61,0.2,0.41,0.75,0.41,3.81,1469
E01001097,0.25,0.33,0.25,0.12,0.12,0.37,0.25,0.53,0.45,0.33,3.0,2437
E01001098,0.2,0.54,0.41,0.2,0.0,0.34,0.14,0.54,0.75,0.41,3.54,1470
E01001099,0.38,0.38,0.32,0.19,0.19,0.57,0.32,0.38,0.7,0.38,3.82,1572
E01001100,0.4,0.53,0.4,0.13,0.13,0.53,0.13,0.73,0.59,0.4,3.96,1517
E01001101,0.35,0.42,0.42,0.14,0.0,0.56,0.21,0.42,0.77,0.42,3.71,1428
E01001102,0.38,0.51,0.38,0.19,0.19,0.58,0.32,0.58,0.58,0.38,4.1,1561
E01001103,0.3,0.48,0.3,0.18,0.18,0.48,0.3,0.66,0.66,0.36,3.91,1664
E01001104,0.3,0.48,0.36,0.18,0.18,0.36,0.18,0.65,0.65,0.36,3.69,1682
E01001105,0.28,0.45,0.34,0.17,0.17,0.45,0.11,0.45,0.62,0.34,3.41,1760
E01001106,0.33,0.39,0.39,0.2,0.13,0.59,0.33,0.59,0.59,0.53,4.08,1519
E01001107,0.29,0.47,0.29,0.18,0.12,0.53,0.12,0.35,0.65,0.35,3.36,1697
E01001108,0.28,0.44,0.33,0.17,0.11,0.44,0.11,0.33,0.61,0.33,3.15,1808
E01001109,0.25,0.34,0.25,0.13,0.08,0.38,0.25,0.55,0.55,0.25,3.04,2367
E01001110,0.24,0.38,0.29,0.14,0.14,0.43,0.29,0.62,0.52,0.38,3.43,2098
E01001111,0.28,0.45,0.34,0.17,0.17,0.62,0.34,0.73,0.62,0.45,4.18,1771
E01001112,0.25,0.4,0.3,0.15,0.1,0.45,0.25,0.55,0.55,0.3,3.33,1984
E01001113,0.3,0.4,0.3,0.15,0.15,0.45,0.25,0.55,0.55,0.4,3.48,2009
E01001114,0.4,0.54,0.4,0.2,0.2,0.74,0.33,0.87,0.6,0.54,4.82,1495
E01001115,0.33,0.44,0.33,0.17,0.17,0.5,0.28,0.61,0.61,0.33,3.78,1798
E01001116,0.39,0.53,0.39,0.2,0.2,0.59,0.39,0.85,0.85,0.53,4.93,1522
E01001118,0.28,0.37,0.28,0.14,0.14,0.42,0.28,0.6,0.51,0.28,3.3,2150
E01001119,0.35,0.42,0.21,0.21,0.21,0.42,0.21,0.35,0.77,0.42,3.56,1433
E01001120,0.37,0.44,0.44,0.22,0.15,0.66,0.22,0.58,0.8,0.44,4.31,1369
E01001121,0.46,0.62,0.39,0.15,0.15,0.62,0.15,0.39,0.69,0.46,4.08,1298
E01001122,0.34,0.55,0.41,0.21,0.21,0.62,0.21,0.62,0.75,0.41,4.31,1462
E01001123,0.31,0.5,0.31,0.19,0.12,0.56,0.31,0.56,0.56,0.37,3.79,1611
E01001124,0.32,0.39,0.32,0.13,0.0,0.39,0.13,0.58,0.71,0.39,3.36,1548
E01001125,0.37,0.49,0.37,0.18,0.18,0.55,0.37,0.79,0.55,0.37,4.21,1639
E01001126,0.42,0.42,0.35,0.21,0.14,0.63,0.21,0.56,0.78,0.42,4.16,1419
E01001127,0.18,0.49,0.31,0.18,0.12,0.49,0.37,0.8,0.68,0.37,4.01,1622
E01001128,0.37,0.31,0.37,0.18,0.18,0.55,0.18,0.37,0.68,0.49,3.7,1622
E01001129,0.21,0.57,0.42,0.21,0.14,0.57,0.21,0.64,0.78,0.42,4.17,1414
E01001130,0.34,0.34,0.34,0.17,0.17,0.51,0.29,0.46,0.63,0.34,3.6,1750
E01001131,0.32,0.32,0.38,0.19,0.19,0.51,0.32,0.7,0.57,0.38,3.87,1578
E01001132,0.18,0.49,0.37,0.18,0.18,0.55,0.37,0.67,0.67,0.37,4.03,1638
E01001133,0.31,0.5,0.37,0.19,0.19,0.5,0.19,0.5,0.56,0.37,3.68,1603
E01001134,0.31,0.49,0.37,0.18,0.12,0.49,0.31,0.67,0.67,0.37,3.98,1633
E01001135,0.36,0.47,0.36,0.18,0.18,0.53,0.36,0.77,0.65,0.36,4.21,1686
E01001136,0.29,0.39,0.29,0.15,0.15,0.54,0.29,0.64,0.64,0.39,3.77,2042
E01001137,0.26,0.35,0.26,0.13,0.13,0.39,0.22,0.48,0.48,0.35,3.07,2282
E01001138,0.33,0.53,0.4,0.2,0.13,0.59,0.33,0.53,0.73,0.53,4.29,1516
E01001139,0.29,0.29,0.35,0.18,0.18,0.53,0.29,0.65,0.76,0.35,3.88,1703
E01001140,0.31,0.37,0.37,0.19,0.12,0.5,0.31,0.56,0.69,0.37,3.81,1602
E01001141,0.4,0.63,0.48,0.24,0.24,0.71,0.4,0.48,0.87,0.48,4.91,1262
E01001142,0.26,0.41,0.31,0.15,0.15,0.46,0.31,0.67,0.56,0.31,3.59,1952
E01001143,0.25,0.3,0.3,0.15,0.1,0.4,0.25,0.56,0.56,0.4,3.29,1976
E01001144,0.28,0.45,0.34,0.17,0.11,0.51,0.28,0.62,0.62,0.34,3.7,1782
E01001145,0.32,0.43,0.32,0.16,0.16,0.59,0.32,0.7,0.59,0.32,3.94,1852
E01001146,0.33,0.39,0.39,0.2,0.2,0.59,0.39,0.59,0.59,0.52,4.17,1533
E01001147,0.28,0.45,0.33,0.17,0.17,0.5,0.33,0.45,0.61,0.33,3.62,1796
E01001148,0.29,0.46,0.35,0.17,0.17,0.46,0.29,0.52,0.63,0.35,3.69,1734
E01001149,0.31,0.5,0.38,0.19,0.19,0.38,0.31,0.69,0.69,0.5,4.14,1593
E01001150,0.34,0.34,0.34,0.17,0.11,0.52,0.29,0.63,0.63,0.46,3.84,1743
E01001151,0.34,0.46,0.34,0.17,0.17,0.46,0.34,0.63,0.63,0.34,3.89,1749
E01001152,0.3,0.39,0.3,0.15,0.15,0.64,0.3,0.64,0.54,0.3,3.7,2026
E01001153,0.36,0.49,0.36,0.18,0.18,0.49,0.3,0.55,0.67,0.36,3.95,1644
E01001154,0.32,0.42,0.32,0.16,0.16,0.58,0.32,0.68,0.58,0.42,3.94,1903
E01001155,0.33,0.44,0.33,0.17,0.17,0.5,0.33,0.72,0.61,0.33,3.94,1804
E01001156,0.29,0.34,0.34,0.17,0.11,0.51,0.29,0.51,0.63,0.46,3.66,1750
E01001157,0.33,0.44,0.33,0.16,0.11,0.49,0.27,0.6,0.6,0.33,3.67,1824
E01001158,0.33,0.52,0.39,0.2,0.2,0.52,0.39,0.72,0.85,0.39,4.5,1534
E01001159,0.25,0.3,0.3,0.15,0.15,0.41,0.25,0.56,0.66,0.3,3.34,1974
E01001160,0.3,0.41,0.3,0.15,0.15,0.56,0.3,0.66,0.56,0.41,3.81,1968
E01001161,0.28,0.33,0.33,0.17,0.17,0.5,0.28,0.5,0.72,0.33,3.61,1802
E01001162,0.28,0.44,0.33,0.17,0.17,0.5,0.28,0.61,0.61,0.33,3.7,1810
E01001163,0.25,0.4,0.3,0.15,0.1,0.45,0.25,0.55,0.55,0.3,3.32,1988
E01001164,0.3,0.4,0.3,0.15,0.15,0.45,0.3,0.66,0.55,0.3,3.58,1983
E01001165,0.32,0.43,0.32,0.16,0.16,0.48,0.32,0.59,0.59,0.32,3.71,1860
E01001166,0.25,0.4,0.3,0.15,0.15,0.45,0.25,0.65,0.55,0.4,3.56,1995
E01001167,0.21,0.34,0.26,0.13,0.13,0.47,0.26,0.56,0.56,0.26,3.16,2342
E01001168,0.33,0.43,0.33,0.16,0.16,0.49,0.27,0.71,0.71,0.33,3.91,1843
E01001169,0.28,0.44,0.33,0.17,0.17,0.5,0.28,0.44,0.61,0.33,3.53,1813
E01001170,0.31,0.41,0.31,0.15,0.15,0.46,0.26,0.56,0.67,0.41,3.68,1954
E01001171,0.28,0.45,0.34,0.17,0.11,0.51,0.28,0.51,0.62,0.45,3.74,1764
E01001172,0.27,0.36,0.27,0.14,0.14,0.5,0.27,0.59,0.5,0.36,3.38,2222
E01001173,0.22,0.29,0.22,0.11,0.11,0.33,0.18,0.33,0.33,0.29,2.38,2769
E01001174,0.35,0.47,0.35,0.18,0.18,0.47,0.29,0.47,0.47,0.35,3.58,1704
E01001175,0.3,0.47,0.35,0.18,0.18,0.53,0.3,0.65,0.77,0.47,4.2,1692
E01001176,0.32,0.43,0.32,0.16,0.16,0.59,0.32,0.7,0.7,0.43,4.13,1864
E01001177,0.31,0.49,0.37,0.18,0.18,0.55,0.37,0.67,0.8,0.37,4.29,1633
E01001178,0.38,0.5,0.38,0.19,0.19,0.57,0.38,0.82,0.69,0.57,4.65,1592
E01001179,0.3,0.36,0.36,0.18,0.18,0.49,0.3,0.67,0.67,0.36,3.88,1649
E01001180,0.25,0.41,0.31,0.15,0.15,0.46,0.25,0.66,0.66,0.31,3.61,1966
E01001181,0.23,0.36,0.27,0.14,0.14,0.41,0.27,0.59,0.5,0.36,3.28,2197
E01001182,0.43,0.57,0.43,0.22,0.14,0.65,0.43,0.93,0.79,0.43,5.02,1394
E01001183,0.34,0.45,0.34,0.17,0.17,0.62,0.34,0.73,0.73,0.45,4.32,1782
E01001184,0.38,0.61,0.46,0.23,0.23,0.61,0.38,0.69,0.84,0.69,5.11,1311
E01001185,0.3,0.48,0.36,0.18,0.18,0.54,0.36,0.78,0.66,0.36,4.19,1671
E01001186,0.29,0.47,0.35,0.18,0.18,0.53,0.35,0.65,0.53,0.35,3.89,1698
E01001187,0.3,0.4,0.3,0.15,0.15,0.4,0.25,0.55,0.55,0.3,3.36,1997
E01001188,0.25,0.4,0.3,0.15,0.15,0.45,0.25,0.65,0.55,0.3,3.46,1996
E01001189,0.41,0.49,0.41,0.25,0.16,0.74,0.41,0.74,0.91,0.49,5.02,1214
E01001190,0.32,0.52,0.39,0.19,0.13,0.58,0.39,0.58,0.71,0.52,4.33,1547
E01001191,0.29,0.39,0.29,0.15,0.15,0.44,0.29,0.63,0.53,0.39,3.54,2062
E01001192,0.32,0.51,0.38,0.19,0.19,0.58,0.32,0.83,0.71,0.38,4.42,1560
E01001193,0.29,0.47,0.35,0.17,0.17,0.52,0.29,0.47,0.64,0.47,3.85,1716
E01001194,0.31,0.5,0.37,0.19,0.19,0.68,0.31,0.68,0.68,0.5,4.41,1610
E01001195,0.27,0.44,0.33,0.16,0.16,0.6,0.27,0.44,0.6,0.33,3.61,1826
E01001196,0.36,0.47,0.36,0.18,0.18,0.47,0.36,0.77,0.65,0.36,4.15,1685
E01001197,0.32,0.43,0.32,0.11,0.11,0.32,0.16,0.59,0.59,0.32,3.27,1864
E01001198,0.19,0.51,0.38,0.13,0.19,0.51,0.19,0.7,0.7,0.51,4.01,1572
E01001199,0.35,0.46,0.35,0.17,0.17,0.52,0.29,0.75,0.64,0.35,4.06,1726
E01001200,0.32,0.51,0.38,0.19,0.13,0.51,0.32,0.7,0.82,0.51,4.37,1580
E01001201,0.37,0.37,0.31,0.19,0.12,0.49,0.12,0.49,0.68,0.49,3.65,1618
E01001202,0.25,0.33,0.25,0.12,0.12,0.37,0.25,0.53,0.45,0.33,2.98,2446
E01001203,0.29,0.46,0.35,0.17,0.12,0.64,0.35,0.75,0.64,0.52,4.29,1723
E01001204,0.32,0.51,0.32,0.19,0.13,0.57,0.13,0.51,0.57,0.38,3.64,1566
E01001205,0.29,0.46,0.34,0.17,0.17,0.52,0.17,0.46,0.63,0.34,3.55,1746
E01001206,0.37,0.37,0.37,0.19,0.19,0.5,0.37,0.56,0.68,0.37,3.99,1606
E01001207,0.28,0.45,0.34,0.17,0.11,0.51,0.34,0.62,0.62,0.34,3.81,1760
E01001208,0.44,0.59,0.37,0.15,0.0,0.44,0.22,0.67,0.96,0.44,4.29,1353
E01001209,0.3,0.48,0.3,0.18,0.18,0.54,0.36,0.77,0.65,0.36,4.1,1682
E01001210,0.32,0.42,0.32,0.16,0.16,0.58,0.32,0.68,0.68,0.42,4.05,1900
