LSOA11CD,ARSON AND CRIMINAL DAMAGE,BURGLARY,DRUG OFFENCES,MISCELLANEOUS CRIMES AGAINST SOCIETY,POSSESSION OF WEAPONS,PUBLIC ORDER OFFENCES,ROBBERY,THEFT,VEHICLE OFFENCES,VIOLENCE AGAINST THE PERSON,total_crime,population_mean_2019_2022
E01000467,0.29,0.29,0.34,0.17,0.11,0.52,0.29,0.63,0.63,0.34,3.61,1744
E01000468,0.17,0.2,0.2,0.1,0.1,0.37,0.17,0.31,0.37,0.27,2.27,2946
E01000469,0.34,0.34,0.34,0.17,0.17,0.51,0.17,0.51,0.74,0.34,3.63,1764
E01000470,0.45,0.59,0.45,0.22,0.22,0.67,0.45,0.97,0.82,0.45,5.27,1347
E01000471,0.29,0.29,0.35,0.17,0.12,0.35,0.29,0.52,0.52,0.35,3.23,1732
E01000472,0.21,0.38,0.25,0.13,0.13,0.47,0.25,0.55,0.47,0.34,3.17,2365
E01000473,0.18,0.29,0.22,0.11,0.11,0.4,0.22,0.48,0.48,0.22,2.72,2725
E01000474,0.21,0.21,0.26,0.13,0.09,0.26,0.21,0.56,0.47,0.26,2.66,2334
E01000475,0.24,0.38,0.28,0.14,0.14,0.43,0.28,0.62,0.52,0.28,3.32,2110
E01000476,0.23,0.37,0.28,0.09,0.14,0.37,0.28,0.51,0.6,0.28,3.15,2160
E01000477,0.26,0.34,0.26,0.13,0.13,0.39,0.26,0.56,0.56,0.26,3.13,2331
E01000478,0.2,0.32,0.24,0.12,0.12,0.32,0.24,0.44,0.44,0.32,2.77,2495
E01000479,0.29,0.34,0.34,0.17,0.11,0.52,0.29,0.63,0.63,0.46,3.78,1746
E01000480,0.29,0.47,0.35,0.12,0.12,0.35,0.18,0.53,0.65,0.35,3.4,1705
E01000481,0.36,0.48,0.36,0.18,0.18,0.48,0.36,0.67,0.67,0.36,4.12,1651
E01000483,0.32,0.43,0.32,0.16,0.16,0.59,0.32,0.7,0.59,0.43,4.05,1854
E01000484,0.33,0.33,0.33,0.17,0.17,0.5,0.28,0.44,0.5,0.33,3.39,1802
E01000485,0.31,0.38,0.31,0.19,0.13,0.57,0.31,0.69,0.69,0.38,3.96,1592
E01000486,0.29,0.35,0.35,0.18,0.18,0.47,0.18,0.47,0.64,0.35,3.45,1709
E01000487,0.3,0.4,0.3,0.15,0.1,0.45,0.3,0.65,0.55,0.4,3.62,1988
E01000488,0.3,0.48,0.36,0.18,0.18,0.54,0.18,0.48,0.66,0.36,3.69,1678
E01000489,0.35,0.46,0.35,0.12,0.17,0.52,0.29,0.75,0.64,0.46,4.11,1728
E01000490,0.28,0.44,0.33,0.17,0.17,0.5,0.33,0.72,0.5,0.44,3.88,1802
E01000491,0.29,0.39,0.29,0.1,0.1,0.44,0.24,0.44,0.54,0.29,3.11,2056
