LSOA11CD,road,sidewalk,building,wall,fence,pole,traffic_light,traffic_sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle,residential_sim,commercial_sim,industrial_sim,civil_and_governmental_sim,health_care_sim,education_sim,hotel_sim,sports_and_recreation_sim,outdoors_and_natural_sim,transportation_sim,predicted_function
E01001356,0.3065307349489446,0.05025334943804819,0.1277098404733758,0.023023504959909503,0.04956027917694622,0.0038835625899465067,3.473382247121359e-05,0.000590541906524103,0.1891396505790844,0.005723183615165811,0.1933021545410156,0.0022597061960320437,4.483942399945175e-06,0.04473682872036043,0.00012976663154467896,7.361696477521929e-07,0.002113007662589079,0.0007433974952028473,0.0002605371307908417,0.1166253992355997,0.11241370459691527,0.10179700615871957,0.08350137462208236,0.10166414592576999,0.10632267498992223,0.08783901163309839,0.09234944050679744,0.09895561027285422,0.09853163205824045,residential
E01001357,0.33884490331013994,0.0477154413859049,0.20702730814615883,0.00199530919392902,0.021021938323974566,0.0017076174418131143,3.93549601236925e-05,0.0009920438130696413,0.21588474909464517,0.007656256357828743,0.11182556152343745,0.0006942749023437356,0.00021047592163085795,0.0398449579874674,0.0029590288798014247,7.692972819010001e-05,0.00029691060384114,0.0009427070617675726,0.000264231363932285,0.1127817689815183,0.11261546651791832,0.09741029113638759,0.08476567783577553,0.10497044457705176,0.10572856742177503,0.08944730863112518,0.09432003370590167,0.10067736950882981,0.09728307168371643,commercial
E01001358,0.3271082560221354,0.04716262817382808,0.19911100599500867,0.005685403611924887,0.03895367516411672,0.002740520901150131,2.507103814018653e-05,0.0009442435370551076,0.12063874138726124,0.009208573235405781,0.188033824496799,0.0020415623982747173,2.2739834255640003e-05,0.05195416344536671,0.0032172732883029454,0.00030674404568142074,0.0027225706312391427,3.0411614312065e-05,9.259117974175029e-05,0.1102357731273565,0.11250686519033411,0.10281322411845283,0.08418897569260272,0.10410380513261137,0.10485357766098341,0.08758952210792449,0.09694546851825939,0.09505303915044824,0.10170974930102647,residential
E01001359,0.2700295022446471,0.07115162887204066,0.21223716657004058,0.009715668907698738,0.004995348724516067,0.005291110125574952,0.00017436884967592922,0.00203121936365514,0.0901969253192733,0.0007178248753468235,0.25329135333009406,0.011344940944253345,1.176322302103857e-05,0.059609064562023494,0.0023595258391857343,0.004042324810860487,0.0010960210063527605,0.00028964929413376845,0.0014145931376055615,0.11301975752980913,0.12008061472981853,0.09819136938274685,0.08291758594229878,0.10235342945312102,0.10663982269248784,0.09230229816973115,0.09619923621419675,0.08756270068406881,0.10073318520172067,commercial
E01001360,0.0620901865782651,0.2456525989204811,0.4398503973819542,0.018455522971652,0.0646640316205533,0.0228177993114879,0.0,0.0001751030643036,0.0405627098474223,0.0,0.0333868842704747,0.0318653576437587,0.0,0.0235760125802201,0.0,0.0032385566747418,0.013635938628926,0.0,2.890050575885078e-05,0.0977461115986742,0.1355057053438955,0.0773297503582071,0.0905825602796831,0.1147863023169425,0.1149893967583446,0.1034591195848573,0.0986268563263065,0.068025935071461,0.0989482623616277,commercial
E01001361,0.2585573976034301,0.08180486008582788,0.15769152691750513,0.014973935605102842,0.018585222184405142,0.007346236042605626,0.00022409991432538974,0.0013466447287057166,0.11899089790365341,0.012783739648787134,0.26362109200559514,0.008908343551418275,8.299675447248221e-05,0.03564849909908598,0.006225440174528889,0.0035133421164509214,0.009209737471755667,0.00012816730727497266,0.0003578208850688645,0.10767530633634881,0.1194226672608762,0.10416949095478727,0.0825727222053396,0.10164066420681957,0.10474902280859,0.08799789110790265,0.09634431365717004,0.0889553836487373,0.10647253781342816,commercial
E01001362,0.23820643611691217,0.03037083255609657,0.1412560724599807,0.031703244453504184,0.02943280859346846,0.002733107940008702,0.00025522201193949506,0.0013947248568763788,0.12787364976790366,0.015694422082971466,0.2870555343424706,0.012997404465404502,0.0065194194050406315,0.03085373138811342,0.011436136892848904,0.0003847304370757174,0.0020890008406076665,0.028628014211737482,0.0011155071770387933,0.11281760005443749,0.11301654775374152,0.10116543710758247,0.07914937598017338,0.10062526924852291,0.10216769597566139,0.08542440669813503,0.10299776225388642,0.09402070857800104,0.10861519634985792,residential
E01001363,0.29145688551668725,0.05846317041708817,0.06436798605279875,0.008333607852006056,0.007107853256669722,0.003893082583078172,0.00017881300754839818,0.0014878162020611164,0.17979615690871298,0.012546654200412842,0.3315305515806148,0.002393874333439795,3.465626089324948e-05,0.03429910208040199,0.0007160855526660292,0.0025510412137222417,0.0006379855399610615,0.0001806853919900863,2.399204924683724e-05,0.10550621799054809,0.10963803042204492,0.10590111749479025,0.08859750975701226,0.10105686578960062,0.10546205972854258,0.08472867728308806,0.0979657724428074,0.09848922220739936,0.102654526884166,commercial
E01001364,0.2927253359840029,0.04455039614722838,0.02455338977632065,0.01570868113684272,0.010951148139105863,0.0002795628138950786,2.373589409721905e-05,0.00022870018368673572,0.2632452344137524,0.025373489137679773,0.29818786136687747,0.0002716306656125821,0.0,0.018399253724113322,0.0007368420797680917,0.0010492234002976097,0.0025903005448598667,0.0011252145918588762,0.0,0.11779245422971424,0.10792585488255943,0.10780511853184474,0.07462065594424662,0.09309755503378855,0.1004194486035179,0.08042872816013771,0.10315614545528705,0.11394653511195577,0.10080750404694755,residential
E01001365,0.20732912494565547,0.018920582679560757,0.07348875604753255,0.023717675433062833,0.033093296708143226,0.0020458554261482595,2.356663646313764e-05,0.0009103045367554404,0.18833662626193937,0.031985502648406876,0.35512936995333466,0.021253415135462524,0.004991040667164765,0.014104860207645132,0.0042842805252245805,0.00010082492358998784,0.001370534534155651,0.01839784967819315,0.0005165330515611825,0.106876959390346,0.10513114555762469,0.11146098640625123,0.07874499187161171,0.09158499408875201,0.0979040567568436,0.07372224005590666,0.1125618538726581,0.10855145168169254,0.11346132031831299,outdoors and natural
E01001366,0.2016865765606915,0.06539846349645538,0.06660659224898721,0.0049185576262297335,0.07241510461877891,0.009016390200014438,0.0,1.4128508391203703e-07,0.26196345576533564,0.09167000099464692,0.2133995338722511,0.0011492128725405038,0.0,0.0003917835376880704,0.010552441632306134,8.477105034722222e-07,0.0,0.0008308975784866824,0.0,0.10137430597530103,0.10250814244463718,0.12289001973277187,0.07958309364008075,0.0996330318459577,0.09972665912691923,0.0793531601350041,0.0983707301123834,0.09163812115964187,0.12492273582730237,industrial
