LSOA11CD,ARSON AND CRIMINAL DAMAGE,BURGLARY,DRUG OFFENCES,MISCELLANEOUS CRIMES AGAINST SOCIETY,POSSESSION OF WEAPONS,PUBLIC ORDER OFFENCES,ROBBERY,THEFT,VEHICLE OFFENCES,VIOLENCE AGAINST THE PERSON,total_crime,centroid_lon,centroid_lat
E01000050,0.5,0.8,0.6,0.3,0.2,1.1,0.6,1.1,1.1,0.6,6.899999999999999,544775.2943404906,183795.29938239118
E01000051,0.5,0.8,0.6,0.3,0.3,0.9,0.6,0.9,0.9,0.6,6.3999999999999995,544523.7934490917,183763.87912016764
E01000052,0.6,0.6,0.6,0.3,0.3,0.8,0.5,1.1,1.1,0.8,6.699999999999998,545279.2584389305,183558.6234957134
E01000053,0.5,0.8,0.6,0.3,0.3,1.1,0.6,1.1,1.3,0.8,7.399999999999999,548796.9701772713,183714.64805061763
E01000054,0.6,0.6,0.6,0.3,0.3,0.9,0.5,0.8,1.3,0.6,6.499999999999999,547990.5225769375,184130.71120380145
E01000055,0.5,0.5,0.6,0.3,0.3,0.9,0.3,0.9,0.9,0.8,6.0,547567.1053230757,184025.89295214444
E01000056,0.6,0.8,0.6,0.3,0.3,0.9,0.6,1.3,1.1,0.8,7.3,548325.2574940365,183858.01212606797
E01000057,0.6,0.8,0.6,0.3,0.3,1.1,0.6,1.3,1.1,0.8,7.499999999999999,547586.5022484588,184274.24980565984
E01000058,0.6,0.6,0.6,0.3,0.3,0.9,0.5,0.9,1.1,0.6,6.399999999999999,548230.873763929,184460.61265914034
E01000059,0.5,0.6,0.6,0.3,0.2,0.9,0.6,0.9,1.3,0.6,6.5,548639.1042116357,184113.85274277968
E01000060,0.6,0.8,0.6,0.3,0.3,1.1,0.6,1.3,1.1,0.8,7.499999999999999,549646.6315045893,186564.2089674399
E01000061,0.6,0.8,0.6,0.3,0.3,0.9,0.6,1.3,1.1,0.8,7.3,549679.8993186412,186995.6950757044
E01000062,0.5,0.8,0.6,0.3,0.3,0.9,0.6,0.9,1.3,0.6,6.799999999999999,549300.6193031007,186072.67633087968
E01000063,0.6,0.6,0.5,0.3,0.3,0.8,0.6,1.3,1.1,0.6,6.699999999999999,548845.8846629743,186314.8683367993
E01000064,0.5,0.8,0.6,0.3,0.3,0.9,0.6,1.1,1.1,0.6,6.799999999999999,549671.3269985677,186057.13773294826
E01000065,0.6,0.8,0.6,0.3,0.2,1.1,0.6,1.1,1.1,0.6,7.0,548717.1725072731,185924.3967420467
E01000066,0.6,0.6,0.6,0.3,0.3,0.9,0.5,1.3,1.1,0.6,6.799999999999999,546122.0743894404,185148.749948001
E01000067,0.6,0.6,0.6,0.3,0.3,0.9,0.5,1.3,1.1,0.6,6.799999999999999,545776.0461654214,185225.4018991707
E01000068,0.5,0.8,0.6,0.3,0.3,0.9,0.5,0.8,1.1,0.6,6.399999999999999,544888.4492627297,184703.41942463876
E01000069,0.5,0.8,0.6,0.3,0.2,0.9,0.6,0.9,1.3,0.8,6.8999999999999995,545722.6877314207,184772.32822720558
E01000070,0.6,0.8,0.6,0.3,0.3,0.9,0.6,1.3,1.1,0.6,7.1,545171.9090957082,184963.7164710662
E01000071,0.6,0.6,0.6,0.3,0.2,0.9,0.6,1.1,1.1,0.6,6.6,545711.0996465933,184409.7310174787
E01000072,0.6,0.8,0.6,0.3,0.3,0.9,0.6,1.3,1.1,0.6,7.1,546485.4043248462,184692.53327666823
E01000073,0.6,0.8,0.6,0.3,0.3,0.9,0.5,0.9,1.3,0.6,6.799999999999999,546667.2522825617,185213.35190492752
E01000074,0.5,0.8,0.6,0.3,0.3,0.9,0.3,0.8,1.1,0.6,6.199999999999999,547148.9510869135,185125.97584236838
E01000075,0.6,0.8,0.6,0.3,0.3,1.1,0.6,1.3,1.1,0.8,7.499999999999999,547619.9196997812,184825.75264809522
E01000076,0.6,0.6,0.6,0.3,0.2,0.9,0.5,0.9,1.1,0.6,6.299999999999999,547127.7855852382,184611.85003361083
E01000077,0.5,0.8,0.6,0.3,0.3,0.8,0.6,1.3,1.1,0.8,7.1000000000000005,547492.7432526632,185553.99143281011
E01000078,0.5,0.8,0.6,0.3,0.3,0.9,0.6,0.9,1.1,0.8,6.8,547943.7189067284,185855.67182046612
E01000079,0.5,0.8,0.6,0.3,0.2,0.9,0.6,1.1,1.1,0.6,6.699999999999999,548374.233687169,185223.84671544458
E01000080,0.6,0.6,0.6,0.2,0.3,0.8,0.5,0.9,1.1,0.6,6.199999999999999,547915.6285469614,185396.22259775808
E01000081,0.5,0.6,0.6,0.3,0.3,0.8,0.6,0.8,1.1,0.8,6.3999999999999995,548369.9021161539,185647.30576082034
E01000082,0.6,0.8,0.6,0.3,0.3,0.9,0.6,1.1,1.1,0.6,6.899999999999999,548362.619976553,186120.15284962623
E01000083,0.6,0.8,0.6,0.3,0.3,0.9,0.6,1.3,1.1,0.8,7.3,547656.695605011,185994.82298816036
E01000084,0.6,0.8,0.6,0.3,0.3,0.9,0.6,1.3,1.1,0.6,7.1,548865.52134044,184510.0841396637
E01000085,0.5,0.8,0.6,0.3,0.2,0.9,0.6,1.3,1.1,0.8,7.1000000000000005,549232.9780001364,184301.325505255
E01000086,0.6,0.6,0.6,0.3,0.2,0.9,0.6,1.1,1.3,0.6,6.8,548920.79709542,184175.76347105077
E01000087,0.6,0.8,0.6,0.3,0.3,0.9,0.6,1.3,1.3,0.6,7.299999999999999,549243.2001195815,183429.25196993665
E01000088,0.5,0.8,0.6,0.3,0.3,1.1,0.5,1.3,1.1,0.6,7.1,549602.3966104871,183862.43561222605
E01000089,0.6,0.6,0.6,0.3,0.2,0.8,0.3,0.8,1.1,0.8,6.099999999999999,549950.1419891344,183521.6814552232
E01000090,0.6,0.8,0.6,0.3,0.3,0.9,0.6,1.3,1.1,0.8,7.3,549579.6656437052,182456.69328041372
E01000091,0.6,0.8,0.6,0.3,0.3,0.9,0.6,1.1,1.3,0.6,7.099999999999999,546390.6156078924,183031.00095312006
E01000093,0.6,0.8,0.6,0.3,0.3,0.9,0.6,1.1,1.3,0.8,7.299999999999999,545950.5513244453,183247.97199874467
E01000094,0.5,0.8,0.6,0.3,0.3,0.9,0.6,1.1,1.3,0.6,6.999999999999999,546863.4027903673,182638.38050815638
E01000095,0.6,0.8,0.6,0.3,0.3,0.9,0.6,1.3,1.3,0.6,7.299999999999999,548197.113500887,182981.87107380966
E01000096,0.6,0.8,0.6,0.3,0.3,0.9,0.6,1.3,1.3,0.8,7.499999999999999,546894.082696018,183545.96446537768
E01000097,0.6,0.8,0.6,0.3,0.3,0.9,0.6,0.9,1.3,0.6,6.8999999999999995,547674.0095189156,187131.28109093293
E01000098,0.6,0.8,0.6,0.3,0.3,0.8,0.6,1.1,1.3,0.8,7.199999999999999,547543.7806559245,186810.26653138216
E01000099,0.6,0.8,0.6,0.3,0.3,0.9,0.6,1.3,1.3,0.6,7.299999999999999,547984.0976250436,187064.29792425415
E01000100,0.5,0.6,0.6,0.3,0.3,0.9,0.5,0.9,1.1,0.6,6.299999999999999,548349.0994956191,186637.43531230625
E01000101,0.5,0.8,0.6,0.3,0.3,0.9,0.6,1.3,1.1,0.6,7.0,548732.5996739466,186662.56961311403
E01000102,0.6,0.8,0.6,0.3,0.2,0.9,0.5,0.9,1.1,0.8,6.7,547980.247842226,186407.9048443104
E01000103,0.6,0.8,0.6,0.3,0.3,0.9,0.6,0.9,1.3,0.6,6.8999999999999995,550241.040004541,183965.38155673342
E01000104,0.6,0.8,0.6,0.3,0.3,0.8,0.6,1.1,1.1,0.6,6.799999999999999,550427.4476588249,184444.88210108312
E01000105,0.6,0.8,0.6,0.3,0.3,0.9,0.6,1.3,1.1,0.6,7.1,549443.9134932742,184521.24664854526
E01000106,0.6,0.8,0.6,0.3,0.3,0.9,0.6,1.3,1.1,0.8,7.3,549849.9800385074,184566.61024878416
E01000107,0.6,0.8,0.6,0.3,0.3,0.9,0.5,0.8,1.1,0.8,6.7,550958.4838892702,184860.6423779824
E01000108,0.5,0.8,0.6,0.3,0.3,0.9,0.6,1.1,1.1,0.6,6.799999999999999,550371.0810418357,184885.69796765636
E01000110,0.5,0.6,0.6,0.3,0.2,0.8,0.6,0.9,1.1,0.6,6.199999999999999,548827.599738567,188219.3345438633
E01000111,0.6,0.9,0.6,0.3,0.3,1.1,0.6,1.3,1.1,0.6,7.399999999999999,548737.9979643271,187749.8872499817
E01000112,0.5,0.8,0.6,0.3,0.3,0.9,0.5,1.3,1.3,0.8,7.299999999999999,548225.5626863922,187774.72853896636
E01000113,0.6,0.8,0.6,0.3,0.2,0.8,0.6,1.3,1.1,0.6,6.9,547965.7258396538,187815.27352970914
E01000114,0.6,0.9,0.6,0.3,0.3,1.1,0.6,1.3,1.3,0.8,7.799999999999999,549023.4201351093,187246.11990492765
E01000115,0.5,0.6,0.6,0.3,0.2,0.8,0.3,0.8,0.9,0.8,5.8,528718.629154942,194673.40120468923
E01000116,0.6,0.8,0.5,0.3,0.2,0.6,0.6,1.3,1.1,0.6,6.6,528363.9314523468,194387.2229286673
