LSOA11CD,road,sidewalk,building,wall,fence,pole,traffic_light,traffic_sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle,residential_sim,commercial_sim,industrial_sim,civil_and_governmental_sim,health_care_sim,education_sim,hotel_sim,sports_and_recreation_sim,outdoors_and_natural_sim,transportation_sim,predicted_function,ARSON AND CRIMINAL DAMAGE,BURGLARY,DRUG OFFENCES,MISCELLANEOUS CRIMES AGAINST SOCIETY,POSSESSION OF WEAPONS,PUBLIC ORDER OFFENCES,ROBBERY,THEFT,VEHICLE OFFENCES,VIOLENCE AGAINST THE PERSON,total_crime,population_mean_2019_2022
E01000045,0.3086124692851386,0.0236614217390473,0.0780708646881628,0.0167490576881871,0.0238091416885572,0.0038174754878605,0.0002161489331821,0.0009252001531685,0.1378963658171052,0.0337399055993526,0.315349367095121,0.0032548647141169,4.8646214294225493e-05,0.043642508286347,0.0038975325185748,0.002263872593696,0.0022480073899242,0.0001624178366847,0.001634732271478,0.1154651447233174,0.1129352769177345,0.1047174447766522,0.0827305256861247,0.1000484826372483,0.1026420611029032,0.0810436610414954,0.0969544725609631,0.0965307918510865,0.1069321387024739,residential,0.35,0.47,0.35,0.17,0.17,0.52,0.35,0.64,0.76,0.35,4.13,1720
E01000046,0.3107023329159226,0.063800922349617,0.1095085690568518,0.0023553075341564,0.0090250310357047,0.0011589684671224,9.120336663988751e-06,0.0005379874934359,0.1171422111642498,0.0171243415153703,0.3232980664175278,0.0010671307222266,1.9613627234378833e-05,0.0415817164206365,0.002542416430257,0.0001071654881164,9.292211288053846e-06,9.806813617188453e-06,0.0,0.1279198178883432,0.116058379839235,0.1059864430520336,0.0803944718522672,0.1006093482376377,0.1003166460263964,0.0829865812518812,0.0927491755278415,0.0924547165229571,0.1005244198014062,residential,0.26,0.31,0.26,0.16,0.16,0.41,0.26,0.41,0.57,0.31,3.11,1930
E01000049,0.2875823150434403,0.0412539744235334,0.1057614501310976,0.0206909131175154,0.0633313054970833,0.0033142959693925,0.0001743175267539,0.0035312052015324,0.078208591332087,0.0053859940929734,0.3382887415641499,0.002686861146522,1.452752695899451e-06,0.0389503070875076,0.005758636862019,0.0032194722732376,0.0017182203869235,0.0,0.0001419455915341,0.1061624329453357,0.1110622234050042,0.1081667118884111,0.085724878282267,0.1033066861723227,0.1024126588075872,0.0854613702442354,0.0999046709704681,0.087043927019953,0.1107544402644148,transportation,0.31,0.42,0.31,0.16,0.16,0.47,0.31,0.67,0.57,0.42,3.79,1926
E01000050,0.2791743777821531,0.0476567798096174,0.185392444986891,0.0089871372686973,0.0237752069889766,0.0016938148214632,0.0002393644999682,0.0009004931820456,0.037843921765593,0.00397101644826,0.3538043931050362,0.0009853973029138,3.1013798907520325e-07,0.045744358598724,0.0011412147584,0.0046486583182482,0.0038058085327109,3.461139958079024e-05,0.0002006902927305,0.1169204950470521,0.1157007415722527,0.1058672033339973,0.0863409005111982,0.1043723899068347,0.1043484920033801,0.0891833427682193,0.0928811848707091,0.0838328547824937,0.1005523952038619,commercial,0.27,0.43,0.32,0.16,0.11,0.59,0.32,0.59,0.59,0.32,3.68,1874
E01000051,0.3231839041619192,0.0462185980505007,0.2609658543037624,0.0060877161477759,0.031872494043172,0.0019064478415925,2.4632614346322397e-05,0.0012984314353759,0.0432374458118529,0.0012990912883625,0.2196623506822292,0.0025220651850687,0.0001828095131247,0.0434006078317659,0.0018075540797057,0.0131171667707747,0.002087853106933,5.463796158149944e-07,0.0011244307521206,0.1144127769833159,0.1148619063043472,0.0989492197485071,0.0868080105671466,0.1025160404574386,0.1013947624143966,0.093912081228415,0.0944150973411738,0.091377385874677,0.1013527190805813,residential,0.47,0.75,0.57,0.28,0.28,0.85,0.57,0.85,0.85,0.57,6.04,1060
E01000052,0.2518911696756682,0.0389209794717576,0.1350471322678188,0.0097643811258294,0.0170172887188074,0.002748485893055,0.0003560303729414,0.0008110223184961,0.0969736309474689,0.0059269721111364,0.3549496890174997,0.0022398120766763,0.0002822664048936,0.0533854118683871,0.0117245780097113,0.0123522152670272,0.0051765385177658,0.000407854715983,2.4541219075517917e-05,0.1195487704969119,0.1155343980983688,0.1062022350204424,0.0831813586128452,0.1030577561377297,0.1015393527673521,0.0858689178534185,0.0938431280238672,0.085212719739891,0.1060113632491723,residential,0.25,0.25,0.25,0.13,0.13,0.33,0.21,0.46,0.46,0.33,2.79,2398
E01000053,0.267683528023337,0.0527321962075895,0.0655571319566276,0.0068177928529738,0.0245291411863455,0.0053840818278046,0.0001071653654311,0.0010952801018351,0.1822419644142592,0.0249369087844832,0.3356384113686538,0.0026440067330643,0.0003925772274241,0.0254447906545698,0.0007704446725844,0.0011473261221054,0.0022444914391399,0.0,0.0006327610617703,0.1159448490944039,0.1172202480586283,0.1054814535303214,0.0809457576288227,0.0995036425452019,0.1018637794062347,0.0787096059589951,0.0978137026048816,0.0980213177002063,0.1044956434723032,commercial,0.3,0.48,0.36,0.18,0.18,0.66,0.36,0.66,0.78,0.48,4.44,1668
E01000054,0.3112829435426162,0.077513993287868,0.1023056547458,0.0055265160112313,0.0061226525605041,0.0015445925398382,0.0001983642578124,0.0003494092636764,0.0780982301655042,0.0146149675062898,0.3616846226802037,0.0006309631380118,7.358001747348982e-05,0.034972214004816,0.0048915559440179,0.0001172186638743,0.0,0.0,7.252167046110064e-05,0.1298341342731318,0.1169971907901912,0.1065561248624869,0.0788952679735114,0.1004830670285831,0.1004228661911183,0.0827766590805994,0.0911174515811584,0.089760906172202,0.1031563320470167,residential,0.32,0.32,0.32,0.16,0.16,0.48,0.26,0.42,0.69,0.32,3.43,1894
E01000055,0.3590963314741086,0.0618244073329827,0.0692956386468349,0.0010815155811798,0.0094894996056189,0.0046912951347155,4.978668995392307e-05,0.0009121038974859,0.1468966557429386,0.0218211442996293,0.2893014565492287,0.0005102891188401,1.897567357772244e-05,0.0289538456843449,0.0003099686060196,0.003022707425631,0.0024920732547075,0.0001396766075721,9.262867462939232e-05,0.1220469589742421,0.1137975330665986,0.106623998420561,0.0774325943651988,0.0988783433696869,0.1029079643607592,0.0767368772856974,0.0965148113381885,0.1034350723025356,0.1016258465165312,residential,0.3,0.3,0.36,0.18,0.18,0.54,0.18,0.54,0.54,0.48,3.58,1675
E01000056,0.2943214155052787,0.0535611477861792,0.0659426196407994,0.009835347360417,0.0452092419509808,0.0043980750104159,6.872300574666933e-05,0.00142338024639,0.0930163141390103,0.0238933683405615,0.3833751304178672,0.0014477997925144,0.0001015187668324,0.0173141520586897,0.0038744717242031,0.0008425903876485,0.0012897154544493,3.003938245637179e-05,5.494902955840264e-05,0.1161962882863096,0.1159810081542494,0.109386352447082,0.0811832324759802,0.0995409906243759,0.0997393862434174,0.0766843863159758,0.0987573404973664,0.0943667382331843,0.1081642767220581,residential,0.35,0.47,0.35,0.18,0.18,0.53,0.35,0.76,0.65,0.47,4.29,1701
